,metricName,time,count,total,minimum,maximum,average,queue,metric
40,dailyMessageQuotaUsed,2021-12-20T00:01:00.0000000Z,23,8005,15.0,1688.0,348.04347826087,Tx.tec.performance.protocols.NETWORK,Number of messages sent
41,dailyMessageQuotaUsed,2021-12-20T00:02:00.0000000Z,36,60732,15.0,2944.0,1687.0,Tx.tec.performance.protocols.NETWORK,Number of messages sent
42,deviceDataUsage,2021-12-20T00:00:00.0000000Z,527,5447630,2.0,32695.0,10337.0588235294,Tx.tec.performance.protocols.NETWORK,Daily amount of transferred bytes
43,deviceDataUsage,2021-12-20T00:01:00.0000000Z,557,5813598,2.0,43657.0,10437.3393177738,Tx.tec.performance.protocols.NETWORK,Daily amount of transferred bytes
44,deviceDataUsage,2021-12-20T00:02:00.0000000Z,575,6484768,2.0,32702.0,11277.8573913043,Tx.tec.performance.protocols.NETWORK,Daily amount of transferred bytes
45,deviceDataUsageV2,2021-12-20T00:00:00.0000000Z,528,5461851,2.0,32695.0,10344.4147727273,Tx.tec.performance.protocols.NETWORK,Daily amount of transferred bytes
46,deviceDataUsageV2,2021-12-20T00:01:00.0000000Z,557,5813598,2.0,43657.0,10437.3393177738,Tx.tec.performance.protocols.NETWORK,Daily amount of transferred bytes
47,deviceDataUsageV2,2021-12-20T00:02:00.0000000Z,575,6484768,2.0,32702.0,11277.8573913043,Tx.tec.performance.protocols.NETWORK,Daily amount of transferred bytes
48,totalDeviceCount,2021-12-20T00:00:00.0000000Z,12,14,1.0,2.0,1.16666666666667,Tx.tec.performance.protocols.HOST,Number of devices registered
49,totalDeviceCount,2021-12-20T00:01:00.0000000Z,12,14,1.0,2.0,1.16666666666667,Tx.tec.performance.protocols.HOST,Number of devices registered
50,totalDeviceCount,2021-12-20T00:02:00.0000000Z,12,14,1.0,2.0,1.16666666666667,Tx.tec.performance.protocols.HOST,Number of devices registered
51,connectedDeviceCount,2021-12-20T00:00:00.0000000Z,11,13,1.0,2.0,1.18181818181818,Tx.tec.performance.protocols.NETWORK,Number of connections alive equal to number of connections registered
52,connectedDeviceCount,2021-12-20T00:01:00.0000000Z,11,13,1.0,2.0,1.18181818181818,Tx.tec.performance.protocols.NETWORK,Number of connections alive equal to number of connections registered
53,connectedDeviceCount,2021-12-20T00:02:00.0000000Z,11,13,1.0,2.0,1.18181818181818,Tx.tec.performance.protocols.NETWORK,Number of connections alive equal to number of connections registered
54,d2c.telemetry.ingress.allProtocol,2021-12-20T00:03:00.0000000Z,546,546,1.0,1.0,1.0,Not.classified,Not.verified
55,d2c.telemetry.ingress.allProtocol,2021-12-20T00:04:00.0000000Z,573,573,1.0,1.0,1.0,Not.classified,Not.verified
56,d2c.telemetry.ingress.allProtocol,2021-12-20T00:05:00.0000000Z,543,543,1.0,1.0,1.0,Not.classified,Not.verified
57,d2c.telemetry.ingress.success,2021-12-20T00:03:00.0000000Z,546,546,1.0,1.0,1.0,Not.classified,Not.verified
58,d2c.telemetry.ingress.success,2021-12-20T00:04:00.0000000Z,573,573,1.0,1.0,1.0,Not.classified,Not.verified
59,d2c.telemetry.ingress.success,2021-12-20T00:05:00.0000000Z,543,543,1.0,1.0,1.0,Not.classified,Not.verified
60,devices.totalDevices,2021-12-20T00:03:00.0000000Z,12,14,1.0,2.0,1.16666666666667,Tx.tec.performance.computer-elements.CPU,Number of devices registered
61,devices.totalDevices,2021-12-20T00:04:00.0000000Z,12,14,1.0,2.0,1.16666666666667,Tx.tec.performance.computer-elements.CPU,Number of devices registered
62,devices.totalDevices,2021-12-20T00:05:00.0000000Z,12,14,1.0,2.0,1.16666666666667,Tx.tec.performance.computer-elements.CPU,Number of devices registered
63,devices.connectedDevices.allProtocol,2021-12-20T00:03:00.0000000Z,11,13,1.0,2.0,1.18181818181818,Tx.tec.performance.computer-elements.CPU,Number of devices connected
64,devices.connectedDevices.allProtocol,2021-12-20T00:04:00.0000000Z,11,13,1.0,2.0,1.18181818181818,Tx.tec.performance.computer-elements.CPU,Number of devices connected
65,devices.connectedDevices.allProtocol,2021-12-20T00:05:00.0000000Z,11,13,1.0,2.0,1.18181818181818,Tx.tec.performance.computer-elements.CPU,Number of devices connected
66,d2c.telemetry.egress.success,2021-12-20T00:03:00.0000000Z,402,3396,1.0,30.0,8.44776119402985,Tx.tec.performance.protocols.NETWORK,Number of messages successfully delivered to an endpoint (Messages/Evevnts)
67,d2c.telemetry.egress.success,2021-12-20T00:04:00.0000000Z,422,3517,1.0,37.0,8.33412322274881,Tx.tec.performance.protocols.NETWORK,Number of messages successfully delivered to an endpoint (Messages/Evevnts)
68,d2c.telemetry.egress.success,2021-12-20T00:05:00.0000000Z,406,3327,1.0,30.0,8.19458128078818,Tx.tec.performance.protocols.NETWORK,Number of messages successfully delivered to an endpoint (Messages/Evevnts)
69,d2c.telemetry.egress.fallback,2021-12-20T00:03:00.0000000Z,3279,3279,1.0,1.0,1.0,Tx.tec.performance.protocols.NETWORK,Number of messages sent
70,d2c.telemetry.egress.fallback,2021-12-20T00:04:00.0000000Z,3284,3284,1.0,1.0,1.0,Tx.tec.performance.protocols.NETWORK,Number of messages sent
71,d2c.telemetry.egress.fallback,2021-12-20T00:05:00.0000000Z,3293,3293,1.0,1.0,1.0,Tx.tec.performance.protocols.NETWORK,Number of messages sent
72,d2c.endpoints.egress.eventHubs,2021-12-20T00:03:00.0000000Z,30,130,1.0,30.0,4.33333333333333,,
73,d2c.endpoints.egress.eventHubs,2021-12-20T00:04:00.0000000Z,34,218,1.0,37.0,6.41176470588235,,
74,d2c.endpoints.egress.eventHubs,2021-12-20T00:05:00.0000000Z,24,34,1.0,2.0,1.41666666666667,,
75,d2c.endpoints.latency.eventHubs,2021-12-20T00:03:00.0000000Z,30,3704,30.0,246.0,123.466666666667,,
76,d2c.endpoints.latency.eventHubs,2021-12-20T00:04:00.0000000Z,34,4597,24.0,384.0,135.205882352941,,
77,d2c.endpoints.latency.eventHubs,2021-12-20T00:05:00.0000000Z,24,3116,22.0,259.0,129.833333333333,,
78,d2c.endpoints.egress.builtIn.events,2021-12-20T00:03:00.0000000Z,372,3266,1.0,30.0,8.77956989247312,Tx.tec.performance.protocols.NETWORK,Number of messages successfully delivered to an endpoint (Messages/Evevnts)
79,d2c.endpoints.egress.builtIn.events,2021-12-20T00:04:00.0000000Z,388,3299,1.0,30.0,8.50257731958763,Tx.tec.performance.protocols.NETWORK,Number of messages successfully delivered to an endpoint (Messages/Evevnts)
80,d2c.endpoints.egress.builtIn.events,2021-12-20T00:05:00.0000000Z,382,3293,1.0,30.0,8.62041884816754,Tx.tec.performance.protocols.NETWORK,Number of messages successfully delivered to an endpoint (Messages/Evevnts)
81,d2c.endpoints.latency.builtIn.events,2021-12-20T00:03:00.0000000Z,372,42753,19.0,346.0,114.927419354839,Tx.tec.performance.protocols.NETWORK,Latency time between sending and arriving at an endpoint
82,d2c.endpoints.latency.builtIn.events,2021-12-20T00:04:00.0000000Z,388,44739,16.0,254.0,115.306701030928,Tx.tec.performance.protocols.NETWORK,Latency time between sending and arriving at an endpoint
83,d2c.endpoints.latency.builtIn.events,2021-12-20T00:05:00.0000000Z,382,44497,17.0,314.0,116.484293193717,Tx.tec.performance.protocols.NETWORK,Latency time between sending and arriving at an endpoint
